3543439;17GP 10,-0.567053,+0.009673,+0.016377,+0.017670,-0.023992,-0.181738,+0.012311,+0.010216,+0.033702,+0.240731,-0.140049,+0.037660,-0.012747,+0.007709,+0.090628,+0.995773;19GP 11,+1.589498,+4.626682,-0.011962,+0.054956,+0.019906,-0.258179,+0.001831,-0.004913,-0.007457,-0.027776,-0.020860,-0.017722,+0.006329,+0.028526,+0.128948,+0.991221;
3543440;17GP 10,-0.566977,+0.009851,+0.016963,+0.021579,-0.026601,-0.181158,+0.011498,+0.012875,+0.042578,+0.269608,-0.162850,+0.042460,-0.014221,+0.009541,+0.090299,+0.995767;19GP 11,+1.589422,+4.626846,-0.011799,+0.055986,+0.020725,-0.257518,-0.000520,+0.000034,-0.002099,-0.003140,-0.000615,-0.002643,+0.006679,+0.029086,+0.128634,+0.991243;
3543441;17GP 10,-0.566996,+0.009992,+0.017749,+0.025251,-0.029431,-0.180248,+0.008301,+0.014080,+0.055067,+0.288675,-0.185359,+0.052890,-0.015790,+0.011248,+0.089800,+0.995771;19GP 11,+1.589322,+4.626970,-0.011616,+0.058042,+0.021848,-0.256953,-0.003150,+0.003286,+0.003079,+0.036386,+0.021481,+0.007372,+0.007112,+0.030175,+0.128376,+0.991241;
3543442;17GP 10,-0.566917,+0.010095,+0.018738,+0.028183,-0.031972,-0.178688,+0.008060,+0.014033,+0.070691,+0.290373,-0.197751,+0.073731,-0.017177,+0.012607,+0.088981,+0.995805;19GP 11,+1.589321,+4.627033,-0.011477,+0.059053,+0.022380,-0.256640,-0.002792,+0.004489,+0.006405,+0.048595,+0.027846,+0.011336,+0.007315,+0.030709,+0.128232,+0.991242;
3543443;17GP 10,-0.566768,+0.010252,+0.019772,+0.030965,-0.033479,-0.177109,+0.009699,+0.015285,+0.084734,+0.288951,-0.187992,+0.090638,-0.018040,+0.013939,+0.088158,+0.995846;19GP 11,+1.589320,+4.627089,-0.011411,+0.058916,+0.022342,-0.256391,-0.002470,+0.005284,+0.007285,+0.036618,+0.022089,+0.013942,+0.007309,+0.030638,+0.128108,+0.991260;
3543444;17GP 10,-0.566591,+0.010532,+0.021093,+0.031628,-0.035170,-0.176318,+0.011826,+0.019469,+0.103581,+0.247060,-0.183986,+0.089281,-0.018906,+0.014202,+0.087743,+0.995862;19GP 11,+1.589428,+4.626982,-0.011595,+0.057459,+0.021567,-0.256861,+0.000723,+0.001660,+0.001434,+0.002102,+0.002623,+0.003213,+0.007011,+0.029868,+0.128325,+0.991258;
3543445;17GP 10,-0.566318,+0.010806,+0.022604,+0.033584,-0.037400,-0.175303,+0.016141,+0.022799,+0.123893,+0.237948,-0.190793,+0.092909,-0.020094,+0.015087,+0.087199,+0.995874;19GP 11,+1.589505,+4.626819,-0.011820,+0.056343,+0.020607,-0.257536,+0.002643,-0.002961,-0.004729,-0.019285,-0.016862,-0.009177,+0.006597,+0.029256,+0.128642,+0.991237;
3543446;17GP 10,-0.566045,+0.011123,+0.024299,+0.037071,-0.038407,-0.174047,+0.019808,+0.026591,+0.145141,+0.259889,-0.172773,+0.099962,-0.020737,+0.016792,+0.086528,+0.995892;19GP 11,+1.589501,+4.626725,-0.011896,+0.055476,+0.020069,-0.257699,+0.002179,-0.005128,-0.006130,-0.032072,-0.024055,-0.009956,+0.006384,+0.028792,+0.128713,+0.991243;
3543447;17GP 10,-0.565799,+0.011418,+0.026371,+0.039741,-0.039042,-0.172815,+0.022174,+0.029106,+0.172027,+0.262093,-0.151074,+0.104947,-0.021158,+0.018107,+0.085880,+0.995916;19GP 11,+1.589439,+4.626858,-0.011714,+0.056257,+0.020999,-0.257118,+0.000244,-0.001013,-0.000566,-0.011312,-0.001162,+0.001982,+0.006803,+0.029237,+0.128440,+0.991263;
3543448;17GP 10,-0.565434,+0.011788,+0.028704,+0.041553,-0.040328,-0.171807,+0.027140,+0.033009,+0.200598,+0.247422,-0.146029,+0.105095,-0.021866,+0.018965,+0.085345,+0.995931;19GP 11,+1.589392,+4.626926,-0.011601,+0.056788,+0.021160,-0.256794,-0.001045,+0.000909,+0.002506,+0.000832,+0.002475,+0.007587,+0.006854,+0.029509,+0.128284,+0.991275;
3543449;17GP 10,-0.565030,+0.012174,+0.030956,+0.044210,-0.041660,-0.170519,+0.032264,+0.036557,+0.221489,+0.251881,-0.142530,+0.110684,-0.022630,+0.020245,+0.084658,+0.995947;19GP 11,+1.589384,+4.627031,-0.011490,+0.057090,+0.021619,-0.256741,-0.001141,+0.003493,+0.005081,+0.006402,+0.010786,+0.006655,+0.007062,+0.029688,+0.128265,+0.991270;
3543450;17GP 10,-0.564635,+0.012611,+0.033538,+0.045435,-0.042237,-0.168972,+0.036218,+0.040671,+0.246242,+0.228417,-0.125150,+0.119525,-0.022953,+0.020848,+0.083867,+0.995994;19GP 11,+1.589325,+4.627080,-0.011472,+0.056896,+0.021682,-0.256557,-0.002542,+0.004264,+0.004841,+0.001409,+0.010138,+0.008818,+0.007109,+0.029595,+0.128174,+0.991285;
3543451;17GP 10,-0.564186,+0.013114,+0.036396,+0.047634,-0.042158,-0.167328,+0.040781,+0.045644,+0.272848,+0.228027,-0.098386,+0.128069,-0.022987,+0.021966,+0.083024,+0.996040;19GP 11,+1.589347,+4.627031,-0.011510,+0.056458,+0.021446,-0.256967,-0.001606,+0.002326,+0.003087,-0.007029,+0.003277,-0.000398,+0.007014,+0.029365,+0.128372,+0.991266;
3543452;17GP 10,-0.563684,+0.013762,+0.039347,+0.049354,-0.041671,-0.165755,+0.045798,+0.053387,+0.296178,+0.218510,-0.068982,+0.133256,-0.022798,+0.022860,+0.082227,+0.996091;19GP 11,+1.589451,+4.626822,-0.011667,+0.055689,+0.020723,-0.257454,+0.001360,-0.003537,-0.001547,-0.020154,-0.011619,-0.008811,+0.006698,+0.028939,+0.128601,+0.991251;
3543453;17GP 10,-0.563167,+0.014406,+0.042654,+0.051115,-0.041713,-0.163574,+0.050170,+0.059594,+0.323330,+0.212099,-0.054657,+0.149415,-0.022866,+0.023760,+0.081120,+0.996159;19GP 11,+1.589505,+4.626722,-0.011830,+0.054755,+0.020158,-0.257937,+0.002617,-0.005768,-0.005696,-0.033903,-0.020655,-0.015708,+0.006471,+0.028441,+0.128830,+0.991238;
3543454;17GP 10,-0.562589,+0.015102,+0.046139,+0.052698,-0.042383,-0.161191,+0.055162,+0.065860,+0.349104,+0.203733,-0.054743,+0.166892,-0.023234,+0.024549,+0.079906,+0.996229;19GP 11,+1.589439,+4.626833,-0.011773,+0.054919,+0.020621,-0.257855,+0.000552,-0.002111,-0.003516,-0.024365,-0.007843,-0.011648,+0.006691,+0.028552,+0.128796,+0.991237;
3543455;17GP 10,-0.561913,+0.015760,+0.049656,+0.054134,-0.042839,-0.159271,+0.061646,+0.069823,+0.369778,+0.193824,-0.051106,+0.172053,-0.023495,+0.025268,+0.078926,+0.996283;19GP 11,+1.589417,+4.627008,-0.011697,+0.055288,+0.020891,-0.257288,-0.000104,+0.002759,-0.001037,-0.012908,-0.000614,+0.001055,+0.006809,+0.028750,+0.128520,+0.991267;
3543456;17GP 10,-0.561299,+0.016506,+0.053451,+0.056185,-0.045655,-0.156967,+0.065215,+0.075045,+0.392387,+0.198046,-0.092537,+0.185862,-0.024948,+0.026206,+0.077712,+0.996319;19GP 11,+1.589407,+4.627138,-0.011587,+0.056442,+0.021370,-0.257050,-0.000365,+0.005798,+0.001999,+0.011425,+0.008871,+0.004882,+0.006976,+0.029352,+0.128412,+0.991262;
3543457;17GP 10,-0.560571,+0.017382,+0.057542,+0.055864,-0.046752,-0.153994,+0.070805,+0.082427,+0.417083,+0.156785,-0.092859,+0.208021,-0.025443,+0.026041,+0.076219,+0.996426;19GP 11,+1.589338,+4.627159,-0.011528,+0.057304,+0.021449,-0.256605,-0.002129,+0.005513,+0.003290,+0.025487,+0.009168,+0.012312,+0.006967,+0.029783,+0.128196,+0.991277;
3543458;17GP 10,-0.559785,+0.018244,+0.061735,+0.057221,-0.047148,-0.151354,+0.076694,+0.087903,+0.438531,+0.155057,-0.079913,+0.219002,-0.025657,+0.026735,+0.074881,+0.996504;19GP 11,+1.589295,+4.627009,-0.011653,+0.056843,+0.021215,-0.256852,-0.002961,+0.000748,-0.000417,+0.011957,+0.002706,+0.005535,+0.006877,+0.029540,+0.128313,+0.991270;
3543459;17GP 10,-0.558933,+0.019194,+0.066088,+0.058731,-0.047561,-0.148693,+0.082982,+0.094346,+0.458637,+0.156621,-0.069646,+0.228322,-0.025883,+0.027507,+0.073529,+0.996578;19GP 11,+1.589345,+4.626854,-0.011730,+0.056448,+0.021061,-0.257290,-0.001214,-0.003516,-0.002409,+0.002321,-0.001217,-0.003692,+0.006819,+0.029336,+0.128527,+0.991249;
3543460;17GP 10,-0.558017,+0.020148,+0.070710,+0.059964,-0.048675,-0.146237,+0.089549,+0.099444,+0.480379,+0.152546,-0.074805,+0.232720,-0.026448,+0.028112,+0.072271,+0.996638;19GP 11,+1.589415,+4.626800,-0.011844,+0.056254,+0.020561,-0.257563,+0.000860,-0.004563,-0.005047,-0.001704,-0.010794,-0.007644,+0.006579,+0.029209,+0.128655,+0.991237;
3543461;17GP 10,-0.557108,+0.021116,+0.075371,+0.061578,-0.050030,-0.143235,+0.094510,+0.103605,+0.497617,+0.157057,-0.082872,+0.246942,-0.027138,+0.028907,+0.070732,+0.996707;19GP 11,+1.589382,+4.626911,-0.011831,+0.056146,+0.020444,-0.257207,-0.000064,-0.001086,-0.003986,-0.003565,-0.010568,+0.000718,+0.006534,+0.029147,+0.128476,+0.991263;
3543462;17GP 10,-0.556043,+0.022155,+0.080256,+0.062428,-0.051836,-0.140354,+0.102259,+0.108469,+0.515772,+0.146199,-0.098124,+0.256652,-0.028026,+0.029306,+0.069255,+0.996775;19GP 11,+1.589358,+4.627016,-0.011694,+0.056358,+0.020549,-0.256827,-0.000640,+0.001803,+0.000231,+0.000986,-0.006153,+0.007689,+0.006578,+0.029257,+0.128290,+0.991283;
3543463;17GP 10,-0.554897,+0.023192,+0.085078,+0.064324,-0.054349,-0.137423,+0.110484,+0.112014,+0.527270,+0.157537,-0.123628,+0.266382,-0.029300,+0.030204,+0.067725,+0.996816;19GP 11,+1.589377,+4.627109,-0.011584,+0.056878,+0.020743,-0.256521,-0.000011,+0.003979,+0.003189,+0.010580,-0.000966,+0.011837,+0.006645,+0.029526,+0.128143,+0.991294;
3543464;17GP 10,-0.553688,+0.024247,+0.089966,+0.065606,-0.055682,-0.134273,+0.118561,+0.114955,+0.536500,+0.155201,-0.121589,+0.277077,-0.029959,+0.030844,+0.066113,+0.996885;19GP 11,+1.589350,+4.627154,-0.011618,+0.057029,+0.021017,-0.256650,-0.000665,+0.004558,+0.001937,+0.011496,+0.004299,+0.006822,+0.006770,+0.029619,+0.128211,+0.991281;
3543465;17GP 10,-0.552403,+0.025415,+0.095125,+0.067260,-0.055862,-0.131444,+0.126818,+0.119892,+0.549223,+0.160007,-0.098255,+0.278288,-0.030059,+0.031705,+0.064675,+0.996950;19GP 11,+1.589360,+4.627037,-0.011710,+0.056928,+0.020906,-0.257105,-0.000249,+0.000801,-0.000678,+0.007573,+0.000879,-0.002999,+0.006714,+0.029563,+0.128435,+0.991254;
3543466;17GP 10,-0.551075,+0.026622,+0.100338,+0.067479,-0.055419,-0.128829,+0.134366,+0.124578,+0.559408,+0.136312,-0.067903,+0.274395,-0.029803,+0.031868,+0.063376,+0.997035;19GP 11,+1.589321,+4.627051,-0.011660,+0.057235,+0.021746,-0.257167,-0.001182,+0.000943,+0.000729,+0.012006,+0.016602,-0.004527,+0.007110,+0.029770,+0.128478,+0.991240;
3543467;17GP 10,-0.549677,+0.027912,+0.105644,+0.068376,-0.054489,-0.126207,+0.141939,+0.130269,+0.568515,+0.129987,-0.033943,+0.270772,-0.029326,+0.032384,+0.062072,+0.997115;19GP 11,+1.589333,+4.626978,-0.011749,+0.056775,+0.021233,-0.257601,-0.000650,-0.001227,-0.001658,+0.001125,+0.003216,-0.011341,+0.006878,+0.029510,+0.128684,+0.991223;
3543468;17GP 10,-0.548252,+0.029286,+0.110973,+0.068331,-0.053018,-0.123359,+0.148414,+0.136768,+0.574989,+0.107060,+0.004045,+0.271404,-0.028545,+0.032449,+0.060679,+0.997221;19GP 11,+1.589331,+4.626994,-0.011732,+0.056673,+0.021310,-0.257548,-0.000576,-0.000738,-0.000952,-0.001049,+0.004139,-0.008268,+0.006924,+0.029464,+0.128659,+0.991227;
3543469;17GP 10,-0.546751,+0.030665,+0.116419,+0.069114,-0.051095,-0.121066,+0.155204,+0.141935,+0.581753,+0.103632,+0.042813,+0.260804,-0.027572,+0.032931,+0.059559,+0.997300;19GP 11,+1.589304,+4.627050,-0.011665,+0.056941,+0.021283,-0.257179,-0.001126,+0.000738,+0.000943,+0.004094,+0.003227,+0.000349,+0.006899,+0.029594,+0.128477,+0.991247;
3543470;17GP 10,-0.545148,+0.032107,+0.121760,+0.069367,-0.049965,-0.118549,+0.162918,+0.147426,+0.583101,+0.091045,+0.059376,+0.257441,-0.026975,+0.033126,+0.058321,+0.997383;19GP 11,+1.589329,+4.626986,-0.011698,+0.056483,+0.020970,-0.257039,-0.000243,-0.001094,-0.000010,-0.005457,-0.003188,+0.003279,+0.006775,+0.029347,+0.128402,+0.991265;
3543471;17GP 10,-0.543399,+0.033555,+0.127160,+0.068675,-0.047646,-0.116471,+0.172601,+0.151728,+0.584202,+0.062241,+0.094734,+0.244900,-0.025764,+0.032877,+0.057336,+0.997481;19GP 11,+1.589422,+4.626923,-0.011758,+0.056038,+0.021097,-0.257252,+0.002275,-0.002645,-0.001529,-0.012810,-0.000388,-0.001533,+0.006864,+0.029135,+0.128507,+0.991257;
3543472;17GP 10,-0.541633,+0.035065,+0.132475,+0.066818,-0.045130,-0.114347,+0.180557,+0.156435,+0.581520,+0.016697,+0.126995,+0.235469,-0.024422,+0.032051,+0.056344,+0.997598;19GP 11,+1.589459,+4.626879,-0.011783,+0.055832,+0.020917,-0.257603,+0.002950,-0.003440,-0.001949,-0.014159,-0.004124,-0.007715,+0.006782,+0.029022,+0.128678,+0.991238;
3543473;17GP 10,-0.539857,+0.036542,+0.137837,+0.066337,-0.043027,-0.112761,+0.186824,+0.159040,+0.579149,+0.005568,+0.144738,+0.218098,-0.023334,+0.031891,+0.055595,+0.997671;19GP 11,+1.589408,+4.626740,-0.011829,+0.056361,+0.020524,-0.258104,+0.001245,-0.006565,-0.002809,-0.001173,-0.011341,-0.015341,+0.006547,+0.029261,+0.128923,+0.991201;
3543474;17GP 10,-0.538033,+0.038044,+0.143198,+0.065421,-0.041209,-0.111448,+0.192609,+0.161338,+0.576017,-0.011983,+0.153287,+0.199274,-0.022381,+0.031500,+0.054981,+0.997739;19GP 11,+1.589289,+4.626723,-0.011804,+0.058072,+0.020995,-0.257530,-0.002063,-0.006018,-0.001698,+0.031398,+0.000394,-0.002014,+0.006678,+0.030137,+0.128650,+0.991209;
3543475;17GP 10,-0.536079,+0.039694,+0.148414,+0.063501,-0.038877,-0.110220,+0.200151,+0.166647,+0.568637,-0.045464,+0.169773,+0.181892,-0.021146,+0.030621,+0.054428,+0.997824;19GP 11,+1.589297,+4.626891,-0.011718,+0.058316,+0.020911,-0.257071,-0.001577,-0.000652,+0.000862,+0.029891,-0.000778,+0.007187,+0.006628,+0.030252,+0.128423,+0.991236;
3543476;17GP 10,-0.534091,+0.041331,+0.153479,+0.060159,-0.036658,-0.109153,+0.206696,+0.170330,+0.557584,-0.099791,+0.180640,+0.165078,-0.019933,+0.029026,+0.053965,+0.997922;19GP 11,+1.589290,+4.626981,-0.011654,+0.058115,+0.020744,-0.257037,-0.001535,+0.001970,+0.002520,+0.020353,-0.003779,+0.006645,+0.006558,+0.030141,+0.128403,+0.991242;
